resume_text,job_description,match_score,matched_skills,missing_skills,fit_category
"Rahul is a Data Analyst professional based in Hyderabad with 7 years of experience. Education: MCA. Skills include SQL, Statistics, Tableau, Data Visualization, Pandas. Experience includes analyze business data, write SQL queries.","We are hiring a Data Analyst. Required skills: Matplotlib, Pandas, Python, Tableau, Excel. Responsibilities include build dashboards, write SQL queries, identify trends. The role requires approximately 4+ years of relevant experience.",48,"Pandas, Tableau","Matplotlib, Python, Excel",No Fit
"Ishita is a ML Engineer professional based in Mumbai with 6 years of experience. Education: B.E. in Information Technology. Skills include FastAPI, PyTorch, TensorFlow, AWS. Experience includes develop machine learning pipelines, prepare training data.","We are hiring a ML Engineer. Required skills: SQL, Git, Python, Docker, Machine Learning, FastAPI, Scikit-learn, TensorFlow. Responsibilities include deploy models as APIs, develop machine learning pipelines, monitor model performance. The role requires approximately 1+ years of relevant experience.",39,"FastAPI, TensorFlow","SQL, Git, Python, Docker, Machine Learning, Scikit-learn",No Fit
"Ishita is a Backend Developer professional based in Delhi with 0 years of experience. Education: M.Tech in Artificial Intelligence. Skills include SQL, Docker, Unit Testing, Redis, Java, Python, REST API, Git, PostgreSQL. Experience includes implement authentication, design APIs.","We are hiring a Backend Developer. Required skills: Docker, Redis, Git, Java, SQL, REST API. Responsibilities include develop scalable backend services, optimize database queries, design APIs. The role requires approximately 2+ years of relevant experience.",81,"Docker, Redis, Git, Java, SQL, REST API",None,Good Fit
"Priya is a Data Analyst professional based in Ahmedabad with 2 years of experience. Education: B.Tech in Computer Science. Skills include Python, Power BI, Excel, Data Cleaning, Tableau, Matplotlib. Experience includes analyze business data, identify trends.","We are hiring a Data Analyst. Required skills: Pandas, Tableau, Power BI, Statistics, SQL, Python, Excel. Responsibilities include analyze business data, write SQL queries, build dashboards. The role requires approximately 1+ years of relevant experience.",66,"Tableau, Power BI, Python, Excel","Pandas, Statistics, SQL",Potential Fit
"Ananya is a Backend Developer professional based in Hyderabad with 4 years of experience. Education: B.Sc. in Computer Science. Skills include PostgreSQL, Redis, Python, REST API, Docker, Unit Testing. Experience includes design APIs, develop scalable backend services.","We are hiring a Backend Developer. Required skills: PostgreSQL, Python, Redis, Spring Boot, REST API. Responsibilities include design APIs, implement authentication, optimize database queries. The role requires approximately 4+ years of relevant experience.",83,"PostgreSQL, Python, Redis, REST API",Spring Boot,Good Fit
"Rohit is a Data Analyst professional based in Hyderabad with 7 years of experience. Education: M.Tech in Artificial Intelligence. Skills include Data Visualization, Pandas, Matplotlib, Python, Power BI, Excel, Data Cleaning, Statistics, SQL. Experience includes identify trends, analyze business data.","We are hiring a Data Analyst. Required skills: Data Visualization, Pandas, Statistics, Excel, Power BI, SQL. Responsibilities include analyze business data, build dashboards, identify trends. The role requires approximately 2+ years of relevant experience.",100,"Data Visualization, Pandas, Statistics, Excel, Power BI, SQL",None,Good Fit
"Priya is a ML Engineer professional based in Chennai with 4 years of experience. Education: B.Tech in Computer Science. Skills include SQL, Python, AWS. Experience includes develop machine learning pipelines, monitor model performance.","We are hiring a ML Engineer. Required skills: TensorFlow, Docker, Python, Git, Scikit-learn, AWS, FastAPI. Responsibilities include monitor model performance, prepare training data, deploy models as APIs. The role requires approximately 2+ years of relevant experience.",38,"Python, AWS","TensorFlow, Docker, Git, Scikit-learn, FastAPI",No Fit
"Nikhil is a Backend Developer professional based in Pune with 2 years of experience. Education: M.Sc. in Data Science. Skills include SQL, Git. Experience includes implement authentication, develop scalable backend services.","We are hiring a Backend Developer. Required skills: Redis, Spring Boot, REST API, Docker, Python, Java, Unit Testing, SQL. Responsibilities include design APIs, optimize database queries, develop scalable backend services. The role requires approximately 5+ years of relevant experience.",17,SQL,"Redis, Spring Boot, REST API, Docker, Python, Java, Unit Testing",No Fit
"Sanjay is a Full Stack Developer professional based in Mysuru with 4 years of experience. Education: B.E. in Information Technology. Skills include React, Node.js, Docker, CSS, HTML. Experience includes create backend APIs, build responsive web applications.","We are hiring a Full Stack Developer. Required skills: CSS, JavaScript, Git, REST API, HTML, Docker, SQL. Responsibilities include create backend APIs, develop frontend components, integrate databases. The role requires approximately 2+ years of relevant experience.",57,"CSS, HTML, Docker","JavaScript, Git, REST API, SQL",Potential Fit
"Ananya is a Cloud Engineer professional based in Hyderabad with 8 years of experience. Education: B.Sc. in Computer Science. Skills include Azure, CI/CD, Networking, Kubernetes. Experience includes configure containerized services, automate deployments.","We are hiring a Cloud Engineer. Required skills: Git, AWS, Terraform, CI/CD, Azure. Responsibilities include monitor systems, automate deployments, manage cloud infrastructure. The role requires approximately 0+ years of relevant experience.",52,"CI/CD, Azure","Git, AWS, Terraform",Potential Fit
"Nikhil is a Data Scientist professional based in Mumbai with 3 years of experience. Education: B.Sc. in Computer Science. Skills include TensorFlow, SQL, NumPy. Experience includes build predictive models, clean and analyze datasets.","We are hiring a Data Scientist. Required skills: Power BI, TensorFlow, Machine Learning, Scikit-learn, Statistics, Matplotlib, SQL, Python. Responsibilities include perform statistical analysis, build predictive models, clean and analyze datasets. The role requires approximately 5+ years of relevant experience.",28,"TensorFlow, SQL","Power BI, Machine Learning, Scikit-learn, Statistics, Matplotlib, Python",No Fit
"Aditya is a Full Stack Developer professional based in Kochi with 5 years of experience. Education: B.E. in Information Technology. Skills include Python, REST API, JavaScript. Experience includes create backend APIs, integrate databases.","We are hiring a Full Stack Developer. Required skills: Git, JavaScript, Node.js, Python, CSS, React, Docker. Responsibilities include create backend APIs, develop frontend components, integrate databases. The role requires approximately 2+ years of relevant experience.",39,"JavaScript, Python","Git, Node.js, CSS, React, Docker",No Fit
"Ananya is a ML Engineer professional based in Noida with 4 years of experience. Education: B.E. in Information Technology. Skills include Docker, FastAPI, Machine Learning, TensorFlow, SQL, Python, AWS, PyTorch. Experience includes prepare training data, deploy models as APIs.","We are hiring a ML Engineer. Required skills: Scikit-learn, Python, TensorFlow, PyTorch, Git, Machine Learning, Docker. Responsibilities include prepare training data, monitor model performance, deploy models as APIs. The role requires approximately 2+ years of relevant experience.",80,"Python, TensorFlow, PyTorch, Machine Learning, Docker","Scikit-learn, Git",Good Fit
"Vikram is a Data Scientist professional based in Kochi with 2 years of experience. Education: B.E. in Information Technology. Skills include SQL, Statistics, Scikit-learn, Power BI, Matplotlib, Machine Learning, Python, Pandas. Experience includes perform statistical analysis, build predictive models.","We are hiring a Data Scientist. Required skills: Matplotlib, Power BI, SQL, TensorFlow, NumPy, Machine Learning, Python. Responsibilities include perform statistical analysis, clean and analyze datasets, create data visualizations. The role requires approximately 3+ years of relevant experience.",74,"Matplotlib, Power BI, SQL, Machine Learning, Python","TensorFlow, NumPy",Potential Fit
"Sneha is a ML Engineer professional based in Ahmedabad with 7 years of experience. Education: M.Sc. in Data Science. Skills include Scikit-learn, AWS, Python, Docker, Machine Learning, Git. Experience includes prepare training data, monitor model performance.","We are hiring a ML Engineer. Required skills: TensorFlow, Docker, Git, Scikit-learn, PyTorch. Responsibilities include deploy models as APIs, develop machine learning pipelines, prepare training data. The role requires approximately 3+ years of relevant experience.",69,"Docker, Git, Scikit-learn","TensorFlow, PyTorch",Potential Fit
"Rahul is a Backend Developer professional based in Kochi with 6 years of experience. Education: B.Sc. in Computer Science. Skills include Java, Git, Docker, REST API, Python. Experience includes optimize database queries, design APIs.","We are hiring a Backend Developer. Required skills: Redis, Git, Java, Spring Boot, PostgreSQL, Python, Unit Testing, REST API. Responsibilities include design APIs, develop scalable backend services, optimize database queries. The role requires approximately 0+ years of relevant experience.",58,"Git, Java, Python, REST API","Redis, Spring Boot, PostgreSQL, Unit Testing",Potential Fit
"Meera is a Data Analyst professional based in Hyderabad with 6 years of experience. Education: B.Tech in Computer Science. Skills include Excel, Power BI, Python, Statistics. Experience includes analyze business data, build dashboards.","We are hiring a Data Analyst. Required skills: Tableau, Statistics, Matplotlib, Data Cleaning, Excel, Python. Responsibilities include identify trends, build dashboards, analyze business data. The role requires approximately 3+ years of relevant experience.",59,"Statistics, Excel, Python","Tableau, Matplotlib, Data Cleaning",Potential Fit
"Rohit is a Full Stack Developer professional based in Delhi with 0 years of experience. Education: B.Tech in Computer Science. Skills include REST API, CSS, Python, Git, JavaScript. Experience includes build responsive web applications, develop frontend components.","We are hiring a Full Stack Developer. Required skills: REST API, React, Python, CSS, SQL. Responsibilities include create backend APIs, build responsive web applications, integrate databases. The role requires approximately 3+ years of relevant experience.",46,"REST API, Python, CSS","React, SQL",No Fit
"Ishita is a Full Stack Developer professional based in Kochi with 3 years of experience. Education: B.Sc. in Computer Science. Skills include JavaScript, Node.js, REST API, SQL, Python, Docker, Git, CSS. Experience includes integrate databases, create backend APIs.","We are hiring a Full Stack Developer. Required skills: HTML, Git, Node.js, Docker, SQL, React, JavaScript. Responsibilities include develop frontend components, create backend APIs, build responsive web applications. The role requires approximately 0+ years of relevant experience.",80,"Git, Node.js, Docker, SQL, JavaScript","HTML, React",Good Fit
"Sneha is a Data Analyst professional based in Noida with 7 years of experience. Education: M.Sc. in Data Science. Skills include Power BI, Matplotlib, SQL, Excel, Tableau, Python, Data Cleaning, Statistics. Experience includes build dashboards, analyze business data.","We are hiring a Data Analyst. Required skills: Statistics, Data Cleaning, Pandas, Excel, Python, Power BI. Responsibilities include write SQL queries, build dashboards, identify trends. The role requires approximately 2+ years of relevant experience.",86,"Statistics, Data Cleaning, Excel, Python, Power BI",Pandas,Good Fit
"Vikram is a Full Stack Developer professional based in Mysuru with 4 years of experience. Education: M.Tech in Artificial Intelligence. Skills include JavaScript, React, Docker, SQL, Node.js. Experience includes build responsive web applications, integrate databases.","We are hiring a Full Stack Developer. Required skills: HTML, SQL, React, Node.js, Python. Responsibilities include develop frontend components, integrate databases, build responsive web applications. The role requires approximately 4+ years of relevant experience.",70,"SQL, React, Node.js","HTML, Python",Potential Fit
"Rohit is a Data Scientist professional based in Delhi with 1 years of experience. Education: B.Sc. in Computer Science. Skills include Scikit-learn, Pandas, Power BI, Machine Learning, Matplotlib, TensorFlow, Python. Experience includes build predictive models, clean and analyze datasets.","We are hiring a Data Scientist. Required skills: Matplotlib, Python, Pandas, Scikit-learn, Power BI, NumPy. Responsibilities include create data visualizations, clean and analyze datasets, perform statistical analysis. The role requires approximately 2+ years of relevant experience.",77,"Matplotlib, Python, Pandas, Scikit-learn, Power BI",NumPy,Good Fit
"Kiran is a AI Engineer professional based in Noida with 1 years of experience. Education: B.Tech in Computer Science. Skills include Git, Computer Vision, Transformers, Deep Learning, FastAPI, Python, TensorFlow, NLP. Experience includes deploy inference services, train deep learning models.","We are hiring a AI Engineer. Required skills: Deep Learning, Git, TensorFlow, Python, FastAPI, NLP, Transformers, Scikit-learn. Responsibilities include develop AI solutions, deploy inference services, train deep learning models. The role requires approximately 5+ years of relevant experience.",72,"Deep Learning, Git, TensorFlow, Python, FastAPI, NLP, Transformers",Scikit-learn,Potential Fit
"Meera is a Data Analyst professional based in Pune with 2 years of experience. Education: B.Sc. in Computer Science. Skills include Data Cleaning, Python, Excel, SQL, Tableau, Power BI. Experience includes write SQL queries, identify trends.","We are hiring a Data Analyst. Required skills: Power BI, Matplotlib, Data Cleaning, Tableau, Excel, SQL, Statistics, Data Visualization. Responsibilities include identify trends, analyze business data, write SQL queries. The role requires approximately 3+ years of relevant experience.",63,"Power BI, Data Cleaning, Tableau, Excel, SQL","Matplotlib, Statistics, Data Visualization",Potential Fit
"Sneha is a Backend Developer professional based in Pune with 6 years of experience. Education: B.Sc. in Computer Science. Skills include Java, PostgreSQL, Unit Testing, Redis, SQL. Experience includes optimize database queries, implement authentication.","We are hiring a Backend Developer. Required skills: Git, Spring Boot, SQL, Python, Docker, Java, PostgreSQL. Responsibilities include optimize database queries, implement authentication, design APIs. The role requires approximately 0+ years of relevant experience.",53,"SQL, Java, PostgreSQL","Git, Spring Boot, Python, Docker",Potential Fit
"Rahul is a Full Stack Developer professional based in Bengaluru with 1 years of experience. Education: MCA. Skills include Docker, Node.js, REST API. Experience includes create backend APIs, integrate databases.","We are hiring a Full Stack Developer. Required skills: Python, Git, REST API, Docker, CSS, JavaScript. Responsibilities include create backend APIs, build responsive web applications, develop frontend components. The role requires approximately 0+ years of relevant experience.",45,"REST API, Docker","Python, Git, CSS, JavaScript",No Fit
"Neha is a Data Scientist professional based in Mumbai with 2 years of experience. Education: M.Tech in Artificial Intelligence. Skills include Pandas, Matplotlib, Scikit-learn, Power BI, Python, Statistics. Experience includes clean and analyze datasets, perform statistical analysis.","We are hiring a Data Scientist. Required skills: Scikit-learn, SQL, Python, Statistics, Pandas, Machine Learning, Power BI. Responsibilities include perform statistical analysis, create data visualizations, clean and analyze datasets. The role requires approximately 4+ years of relevant experience.",70,"Scikit-learn, Python, Statistics, Pandas, Power BI","SQL, Machine Learning",Potential Fit
"Ananya is a ML Engineer professional based in Kochi with 8 years of experience. Education: MCA. Skills include FastAPI, SQL, PyTorch, Python, Scikit-learn, TensorFlow, AWS, Docker, Machine Learning. Experience includes deploy models as APIs, prepare training data.","We are hiring a ML Engineer. Required skills: Docker, TensorFlow, SQL, Scikit-learn, PyTorch. Responsibilities include prepare training data, deploy models as APIs, develop machine learning pipelines. The role requires approximately 0+ years of relevant experience.",100,"Docker, TensorFlow, SQL, Scikit-learn, PyTorch",None,Good Fit
"Ananya is a AI Engineer professional based in Ahmedabad with 7 years of experience. Education: B.E. in Information Technology. Skills include Scikit-learn, TensorFlow. Experience includes train deep learning models, deploy inference services.","We are hiring a AI Engineer. Required skills: Transformers, Scikit-learn, Computer Vision, TensorFlow, Python. Responsibilities include deploy inference services, train deep learning models, develop AI solutions. The role requires approximately 5+ years of relevant experience.",48,"Scikit-learn, TensorFlow","Transformers, Computer Vision, Python",No Fit
"Rahul is a Cloud Engineer professional based in Mumbai with 6 years of experience. Education: B.Tech in Computer Science. Skills include Terraform, CI/CD, Python, Kubernetes, Networking. Experience includes manage cloud infrastructure, configure containerized services.","We are hiring a Cloud Engineer. Required skills: Linux, Docker, Kubernetes, CI/CD, Terraform, Networking, Azure, AWS. Responsibilities include configure containerized services, monitor systems, automate deployments. The role requires approximately 2+ years of relevant experience.",57,"Kubernetes, CI/CD, Terraform, Networking","Linux, Docker, Azure, AWS",Potential Fit
"Vikram is a Full Stack Developer professional based in Ahmedabad with 1 years of experience. Education: B.Tech in Computer Science. Skills include Docker, SQL, Git, JavaScript. Experience includes integrate databases, create backend APIs.","We are hiring a Full Stack Developer. Required skills: REST API, Python, CSS, Docker, JavaScript, Git. Responsibilities include develop frontend components, integrate databases, create backend APIs. The role requires approximately 2+ years of relevant experience.",46,"Docker, JavaScript, Git","REST API, Python, CSS",No Fit
"Aarav is a Python Developer professional based in Bengaluru with 2 years of experience. Education: M.Sc. in Data Science. Skills include Docker, Flask, Django, FastAPI, Unit Testing. Experience includes write Python code, design REST APIs.","We are hiring a Python Developer. Required skills: Python, Django, Git, PostgreSQL, Unit Testing, Flask, FastAPI, REST API. Responsibilities include integrate databases, design REST APIs, write Python code. The role requires approximately 4+ years of relevant experience.",46,"Django, Unit Testing, Flask, FastAPI","Python, Git, PostgreSQL, REST API",No Fit
"Arjun is a AI Engineer professional based in Mumbai with 0 years of experience. Education: B.E. in Information Technology. Skills include Computer Vision, TensorFlow, Scikit-learn, Python, PyTorch. Experience includes deploy inference services, train deep learning models.","We are hiring a AI Engineer. Required skills: Git, TensorFlow, PyTorch, FastAPI, NLP, Transformers, Deep Learning. Responsibilities include process unstructured data, develop AI solutions, deploy inference services. The role requires approximately 3+ years of relevant experience.",23,"TensorFlow, PyTorch","Git, FastAPI, NLP, Transformers, Deep Learning",No Fit
"Nikhil is a ML Engineer professional based in Ahmedabad with 0 years of experience. Education: M.Sc. in Data Science. Skills include Scikit-learn, SQL, TensorFlow, FastAPI. Experience includes deploy models as APIs, prepare training data.","We are hiring a ML Engineer. Required skills: Scikit-learn, AWS, Machine Learning, Docker, Python, TensorFlow, FastAPI. Responsibilities include deploy models as APIs, develop machine learning pipelines, prepare training data. The role requires approximately 5+ years of relevant experience.",35,"Scikit-learn, TensorFlow, FastAPI","AWS, Machine Learning, Docker, Python",No Fit
"Aarav is a Full Stack Developer professional based in Bengaluru with 1 years of experience. Education: MCA. Skills include Python, CSS, SQL, HTML, Docker. Experience includes create backend APIs, build responsive web applications.","We are hiring a Full Stack Developer. Required skills: Docker, Git, SQL, React, HTML, CSS. Responsibilities include create backend APIs, develop frontend components, build responsive web applications. The role requires approximately 2+ years of relevant experience.",62,"Docker, SQL, HTML, CSS","Git, React",Potential Fit
"Priya is a Data Scientist professional based in Mysuru with 1 years of experience. Education: M.Sc. in Data Science. Skills include Power BI, Python. Experience includes build predictive models, clean and analyze datasets.","We are hiring a Data Scientist. Required skills: Matplotlib, Machine Learning, Scikit-learn, Pandas, Python, Statistics. Responsibilities include build predictive models, perform statistical analysis, create data visualizations. The role requires approximately 2+ years of relevant experience.",22,Python,"Matplotlib, Machine Learning, Scikit-learn, Pandas, Statistics",No Fit
"Arjun is a AI Engineer professional based in Kochi with 0 years of experience. Education: B.Sc. in Computer Science. Skills include PyTorch, Git, TensorFlow, Python, Transformers, Computer Vision, Scikit-learn, Deep Learning. Experience includes train deep learning models, process unstructured data.","We are hiring a AI Engineer. Required skills: FastAPI, Computer Vision, TensorFlow, Deep Learning, Scikit-learn, Git. Responsibilities include deploy inference services, develop AI solutions, process unstructured data. The role requires approximately 0+ years of relevant experience.",89,"Computer Vision, TensorFlow, Deep Learning, Scikit-learn, Git",FastAPI,Good Fit
"Kavya is a ML Engineer professional based in Chennai with 8 years of experience. Education: B.Sc. in Computer Science. Skills include SQL, FastAPI, PyTorch, Python. Experience includes develop machine learning pipelines, deploy models as APIs.","We are hiring a ML Engineer. Required skills: Docker, AWS, Git, FastAPI, TensorFlow. Responsibilities include deploy models as APIs, develop machine learning pipelines, monitor model performance. The role requires approximately 2+ years of relevant experience.",34,FastAPI,"Docker, AWS, Git, TensorFlow",No Fit
"Ishita is a Data Scientist professional based in Noida with 1 years of experience. Education: M.Tech in Artificial Intelligence. Skills include Matplotlib, Pandas, Power BI, Scikit-learn, TensorFlow, Statistics, NumPy. Experience includes perform statistical analysis, build predictive models.","We are hiring a Data Scientist. Required skills: Pandas, Python, NumPy, SQL, Machine Learning, Statistics, TensorFlow, Matplotlib. Responsibilities include perform statistical analysis, create data visualizations, clean and analyze datasets. The role requires approximately 1+ years of relevant experience.",66,"Pandas, NumPy, Statistics, TensorFlow, Matplotlib","Python, SQL, Machine Learning",Potential Fit
"Ananya is a Backend Developer professional based in Kochi with 7 years of experience. Education: M.Sc. in Data Science. Skills include Unit Testing, REST API, Redis, Docker, Python, Git. Experience includes implement authentication, develop scalable backend services.","We are hiring a Backend Developer. Required skills: Unit Testing, Redis, PostgreSQL, Git, Docker, Spring Boot, Java. Responsibilities include optimize database queries, design APIs, develop scalable backend services. The role requires approximately 2+ years of relevant experience.",63,"Unit Testing, Redis, Git, Docker","PostgreSQL, Spring Boot, Java",Potential Fit
"Priya is a Python Developer professional based in Delhi with 8 years of experience. Education: B.Tech in Computer Science. Skills include FastAPI, Unit Testing. Experience includes integrate databases, write Python code.","We are hiring a Python Developer. Required skills: Flask, Django, Git, SQL, PostgreSQL, FastAPI, Python, REST API. Responsibilities include integrate databases, write Python code, develop backend services. The role requires approximately 3+ years of relevant experience.",30,FastAPI,"Flask, Django, Git, SQL, PostgreSQL, Python, REST API",No Fit
"Aditya is a Data Scientist professional based in Pune with 7 years of experience. Education: M.Tech in Artificial Intelligence. Skills include Machine Learning, TensorFlow, Python, Statistics, Power BI, NumPy, SQL. Experience includes build predictive models, perform statistical analysis.","We are hiring a Data Scientist. Required skills: Machine Learning, Power BI, Matplotlib, NumPy, Python. Responsibilities include clean and analyze datasets, build predictive models, create data visualizations. The role requires approximately 4+ years of relevant experience.",83,"Machine Learning, Power BI, NumPy, Python",Matplotlib,Good Fit
"Vikram is a Data Scientist professional based in Delhi with 7 years of experience. Education: B.E. in Information Technology. Skills include SQL, TensorFlow, Pandas, Power BI. Experience includes create data visualizations, perform statistical analysis.","We are hiring a Data Scientist. Required skills: NumPy, Matplotlib, Machine Learning, TensorFlow, Scikit-learn, Python, Pandas, SQL. Responsibilities include clean and analyze datasets, build predictive models, create data visualizations. The role requires approximately 4+ years of relevant experience.",47,"TensorFlow, Pandas, SQL","NumPy, Matplotlib, Machine Learning, Scikit-learn, Python",No Fit
"Rahul is a AI Engineer professional based in Hyderabad with 3 years of experience. Education: B.Sc. in Computer Science. Skills include Python, TensorFlow, Git, Transformers. Experience includes develop AI solutions, process unstructured data.","We are hiring a AI Engineer. Required skills: Transformers, Python, Scikit-learn, NLP, FastAPI, PyTorch. Responsibilities include deploy inference services, train deep learning models, process unstructured data. The role requires approximately 5+ years of relevant experience.",40,"Transformers, Python","Scikit-learn, NLP, FastAPI, PyTorch",No Fit
"Priya is a Data Analyst professional based in Noida with 1 years of experience. Education: B.E. in Information Technology. Skills include Power BI, SQL. Experience includes analyze business data, write SQL queries.","We are hiring a Data Analyst. Required skills: Statistics, Pandas, Data Visualization, SQL, Python, Excel, Tableau. Responsibilities include write SQL queries, analyze business data, identify trends. The role requires approximately 4+ years of relevant experience.",20,SQL,"Statistics, Pandas, Data Visualization, Python, Excel, Tableau",No Fit
"Aarav is a Full Stack Developer professional based in Kochi with 5 years of experience. Education: M.Sc. in Data Science. Skills include Git, React, Node.js, CSS, HTML, SQL, REST API, JavaScript, Docker. Experience includes develop frontend components, create backend APIs.","We are hiring a Full Stack Developer. Required skills: Docker, React, Python, Node.js, CSS. Responsibilities include build responsive web applications, create backend APIs, develop frontend components. The role requires approximately 0+ years of relevant experience.",83,"Docker, React, Node.js, CSS",Python,Good Fit
"Sanjay is a Data Scientist professional based in Mysuru with 0 years of experience. Education: B.Tech in Computer Science. Skills include SQL, NumPy, Statistics, TensorFlow, Power BI, Pandas, Python, Matplotlib. Experience includes build predictive models, clean and analyze datasets.","We are hiring a Data Scientist. Required skills: SQL, Power BI, Python, TensorFlow, Statistics. Responsibilities include clean and analyze datasets, perform statistical analysis, create data visualizations. The role requires approximately 2+ years of relevant experience.",78,"SQL, Power BI, Python, TensorFlow, Statistics",None,Good Fit
"Vikram is a Data Analyst professional based in Bengaluru with 7 years of experience. Education: M.Tech in Artificial Intelligence. Skills include Python, Excel, Power BI, Matplotlib, Statistics. Experience includes build dashboards, write SQL queries.","We are hiring a Data Analyst. Required skills: Statistics, Excel, Data Visualization, Tableau, Power BI, Pandas, Matplotlib. Responsibilities include write SQL queries, identify trends, build dashboards. The role requires approximately 0+ years of relevant experience.",63,"Statistics, Excel, Power BI, Matplotlib","Data Visualization, Tableau, Pandas",Potential Fit
"Aarav is a Data Scientist professional based in Mysuru with 1 years of experience. Education: M.Sc. in Data Science. Skills include Python, Matplotlib, Power BI, Machine Learning, Scikit-learn, Pandas, TensorFlow, NumPy. Experience includes perform statistical analysis, create data visualizations.","We are hiring a Data Scientist. Required skills: Machine Learning, Statistics, TensorFlow, Python, Power BI, NumPy. Responsibilities include clean and analyze datasets, build predictive models, create data visualizations. The role requires approximately 5+ years of relevant experience.",75,"Machine Learning, TensorFlow, Python, Power BI, NumPy",Statistics,Good Fit
"Ishita is a Python Developer professional based in Chennai with 5 years of experience. Education: B.Tech in Computer Science. Skills include Django, Python, Git, Flask, Docker, Unit Testing. Experience includes develop backend services, design REST APIs.","We are hiring a Python Developer. Required skills: SQL, Docker, REST API, Flask, Git, Unit Testing, PostgreSQL, FastAPI. Responsibilities include write Python code, integrate databases, develop backend services. The role requires approximately 0+ years of relevant experience.",59,"Docker, Flask, Git, Unit Testing","SQL, REST API, PostgreSQL, FastAPI",Potential Fit
"Meera is a AI Engineer professional based in Delhi with 7 years of experience. Education: B.E. in Information Technology. Skills include Transformers, TensorFlow, PyTorch, Deep Learning, Python, NLP, FastAPI. Experience includes process unstructured data, deploy inference services.","We are hiring a AI Engineer. Required skills: NLP, Scikit-learn, Transformers, Computer Vision, Python. Responsibilities include process unstructured data, develop AI solutions, train deep learning models. The role requires approximately 4+ years of relevant experience.",69,"NLP, Transformers, Python","Scikit-learn, Computer Vision",Potential Fit
"Neha is a Cloud Engineer professional based in Chennai with 4 years of experience. Education: B.E. in Information Technology. Skills include Linux, Terraform, Git, Python. Experience includes monitor systems, automate deployments.","We are hiring a Cloud Engineer. Required skills: AWS, Python, Docker, Git, Linux, Azure, Kubernetes, Terraform. Responsibilities include manage cloud infrastructure, configure containerized services, automate deployments. The role requires approximately 2+ years of relevant experience.",62,"Python, Git, Linux, Terraform","AWS, Docker, Azure, Kubernetes",Potential Fit
"Ishita is a Cloud Engineer professional based in Hyderabad with 4 years of experience. Education: B.Tech in Computer Science. Skills include Terraform, Python, Networking. Experience includes manage cloud infrastructure, monitor systems.","We are hiring a Cloud Engineer. Required skills: Kubernetes, Python, Terraform, CI/CD, Networking, Git, Linux, Docker. Responsibilities include monitor systems, manage cloud infrastructure, automate deployments. The role requires approximately 2+ years of relevant experience.",52,"Python, Terraform, Networking","Kubernetes, CI/CD, Git, Linux, Docker",Potential Fit
"Nikhil is a Backend Developer professional based in Kochi with 1 years of experience. Education: MCA. Skills include PostgreSQL, Docker, Python. Experience includes optimize database queries, implement authentication.","We are hiring a Backend Developer. Required skills: Git, REST API, Python, PostgreSQL, Java. Responsibilities include optimize database queries, design APIs, implement authentication. The role requires approximately 1+ years of relevant experience.",53,"Python, PostgreSQL","Git, REST API, Java",Potential Fit
"Kiran is a Backend Developer professional based in Kochi with 1 years of experience. Education: M.Tech in Artificial Intelligence. Skills include PostgreSQL, SQL. Experience includes develop scalable backend services, implement authentication.","We are hiring a Backend Developer. Required skills: PostgreSQL, Git, REST API, Spring Boot, SQL. Responsibilities include implement authentication, optimize database queries, develop scalable backend services. The role requires approximately 3+ years of relevant experience.",37,"PostgreSQL, SQL","Git, REST API, Spring Boot",No Fit
"Vikram is a AI Engineer professional based in Ahmedabad with 0 years of experience. Education: MCA. Skills include Git, PyTorch, Deep Learning. Experience includes process unstructured data, develop AI solutions.","We are hiring a AI Engineer. Required skills: TensorFlow, Transformers, Python, Computer Vision, FastAPI, Scikit-learn. Responsibilities include process unstructured data, train deep learning models, develop AI solutions. The role requires approximately 1+ years of relevant experience.",4,None,"TensorFlow, Transformers, Python, Computer Vision, FastAPI, Scikit-learn",No Fit
"Aarav is a AI Engineer professional based in Kochi with 1 years of experience. Education: B.Tech in Computer Science. Skills include Scikit-learn, PyTorch, TensorFlow, Deep Learning, Python. Experience includes process unstructured data, deploy inference services.","We are hiring a AI Engineer. Required skills: TensorFlow, NLP, Git, Computer Vision, PyTorch, Scikit-learn. Responsibilities include process unstructured data, train deep learning models, develop AI solutions. The role requires approximately 2+ years of relevant experience.",48,"TensorFlow, PyTorch, Scikit-learn","NLP, Git, Computer Vision",No Fit
"Rahul is a Cloud Engineer professional based in Bengaluru with 4 years of experience. Education: B.E. in Information Technology. Skills include Terraform, Linux, Docker, Python, Networking, AWS, Azure. Experience includes configure containerized services, automate deployments.","We are hiring a Cloud Engineer. Required skills: Docker, Networking, Linux, Git, Terraform, AWS. Responsibilities include monitor systems, configure containerized services, automate deployments. The role requires approximately 0+ years of relevant experience.",84,"Docker, Networking, Linux, Terraform, AWS",Git,Good Fit
"Arjun is a ML Engineer professional based in Ahmedabad with 8 years of experience. Education: B.Tech in Computer Science. Skills include PyTorch, Docker, Git, FastAPI. Experience includes develop machine learning pipelines, prepare training data.","We are hiring a ML Engineer. Required skills: AWS, Git, PyTorch, SQL, Python. Responsibilities include deploy models as APIs, monitor model performance, develop machine learning pipelines. The role requires approximately 4+ years of relevant experience.",52,"Git, PyTorch","AWS, SQL, Python",Potential Fit
